,carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
75,12224,bmw,M4,2018,Automatic,3033,Petrol,145.0,33.6,3.0,51000
76,12228,toyota,Supra,2019,Semi-Auto,500,Petrol,145.0,34.5,3.0,49994
77,12231,hyundi,Santa Fe,2014,Manual,50425,Diesel,200.0,46.3,2.2,11830
78,12232,merc,CLS Class,2018,Semi-Auto,11461,Diesel,145.0,57.7,2.1,24775
79,12233,bmw,X7,2019,Semi-Auto,2881,Diesel,145.0,33.6,3.0,66000
80,12235,merc,CLS Class,2018,Semi-Auto,8673,Petrol,145.0,36.2,3.0,41112
81,12238,toyota,Prius,2017,Automatic,37564,Hybrid,140.0,85.6,1.8,18799
82,12245,merc,V Class,2019,Automatic,9,Diesel,145.0,36.2,2.0,45395
83,12247,bmw,6 Series,2019,Automatic,35,Petrol,145.0,29.1,3.0,39146
84,12248,vw,Caravelle,2019,Automatic,2000,Diesel,150.0,33.6,2.0,40000
85,12250,merc,GL Class,2018,Automatic,12471,Petrol,145.0,50.4,1.6,19999
86,12254,audi,A7,2019,Semi-Auto,20,Diesel,145.0,38.2,2.0,39950
87,12256,toyota,Verso,2017,Automatic,22512,Petrol,200.0,42.8,1.8,14291
88,12258,hyundi,IX35,2015,Manual,46573,Diesel,145.0,53.3,1.7,8420
89,12259,bmw,X4,2019,Automatic,3170,Petrol,145.0,26.9,3.0,40000
90,12264,skoda,Yeti,2017,Manual,16000,Petrol,125.0,51.4,1.2,11995
91,12265,ford,Galaxy,2018,Manual,19033,Diesel,145.0,56.5,2.0,17900
92,12266,vw,Amarok,2018,Automatic,24000,Diesel,260.0,36.2,3.0,26990
93,12268,merc,GLB Class,2020,Semi-Auto,349,Diesel,145.0,46.3,2.0,39980
94,12270,audi,A8,2015,Automatic,25406,Diesel,160.0,49.6,3.0,19870
95,12274,ford,Puma,2020,Manual,2477,Petrol,145.0,50.4,1.0,19990
96,12276,skoda,Kamiq,2019,Automatic,4671,Petrol,150.0,43.5,1.5,20799
97,12277,toyota,Avensis,2016,Manual,40889,Diesel,20.0,67.3,1.6,11495
98,12279,ford,Galaxy,2017,Manual,8204,Diesel,145.0,56.5,2.0,19223
99,12283,audi,S3,2017,Semi-Auto,26500,Petrol,150.0,43.5,2.0,23950
100,12284,audi,RS3,2017,Semi-Auto,17552,Petrol,145.0,34.0,2.5,38995
101,12287,ford,Mustang,2018,Automatic,3000,Petrol,145.0,28.8,2.3,29998
102,12289,audi,RS6,2017,Semi-Auto,13051,Petrol,150.0,29.4,4.0,56950
103,12291,skoda,Kamiq,2020,Manual,1927,Petrol,145.0,47.9,1.0,17799
104,12292,merc,X-CLASS,2019,Automatic,40,Diesel,260.0,31.4,3.0,32500
105,12295,vw,Beetle,2014,Semi-Auto,17162,Diesel,160.0,50.4,2.0,14990
106,12298,ford,Galaxy,2019,Semi-Auto,9770,Diesel,145.0,54.3,2.0,24479
107,12299,merc,M Class,2015,Automatic,50408,Diesel,200.0,39.2,2.1,19940
108,12300,merc,CLS Class,2018,Semi-Auto,14130,Diesel,150.0,48.7,2.9,31796
109,12309,ford,Galaxy,2013,Manual,67000,Diesel,145.0,49.6,2.0,9290
110,12311,toyota,Prius,2017,Automatic,27203,Hybrid,0.0,85.6,1.8,20495
111,12312,hyundi,IX20,2016,Automatic,31000,Petrol,165.0,43.5,1.6,9350
112,12314,ford,Grand C-MAX,2017,Manual,28958,Diesel,30.0,64.2,1.5,10500
113,12318,vauxhall,Agila,2011,Manual,25669,Petrol,30.0,55.4,1.2,4655
114,12320,merc,S Class,2019,Semi-Auto,5961,Diesel,145.0,52.3,3.0,54599
115,12321,ford,KA,2013,Manual,40000,Petrol,30.0,57.7,1.2,4500
116,12324,merc,X-CLASS,2018,Automatic,7820,Diesel,260.0,31.4,3.0,38995
117,12325,vw,Shuttle,2019,Semi-Auto,10074,Diesel,145.0,32.8,2.0,28000
118,12326,ford,KA,2018,Manual,6878,Petrol,145.0,57.7,1.2,8700
119,12328,ford,Tourneo Custom,2016,Manual,44233,Diesel,200.0,46.3,2.0,18798
120,12329,skoda,Scala,2019,Automatic,3572,Petrol,145.0,45.6,1.5,16295
121,12331,ford,Grand Tourneo Connect,2014,Manual,37381,Diesel,125.0,58.9,1.6,10995
122,12332,toyota,Land Cruiser,2015,Semi-Auto,27845,Diesel,300.0,38.2,2.8,31200
123,12333,ford,Grand Tourneo Connect,2016,Automatic,21576,Diesel,125.0,56.6,1.5,14000
124,12338,vw,Arteon,2017,Semi-Auto,13764,Petrol,145.0,47.1,2.0,20750
125,12346,ford,Galaxy,2018,Semi-Auto,31589,Diesel,145.0,52.3,2.0,19999
126,12354,ford,Galaxy,2019,Automatic,11112,Diesel,145.0,53.3,2.0,25999
127,12355,vw,Tiguan Allspace,2019,Semi-Auto,6000,Diesel,145.0,39.2,2.0,28490
128,12359,ford,Edge,2019,Semi-Auto,22,Diesel,145.0,37.2,2.0,32000
129,12360,bmw,X6,2016,Semi-Auto,25684,Petrol,570.0,25.4,4.4,44160
130,12362,ford,Grand C-MAX,2015,Manual,47182,Diesel,30.0,64.2,1.5,8498
131,12364,skoda,Yeti,2016,Automatic,6000,Petrol,125.0,51.4,1.2,13995
132,12365,merc,V Class,2019,Automatic,3179,Diesel,145.0,36.2,2.0,46995
133,12368,merc,CLS Class,2013,Automatic,56198,Diesel,200.0,46.3,3.0,14750
134,12373,vw,Amarok,2016,Automatic,58349,Diesel,260.0,35.3,2.0,16995
135,12376,skoda,Rapid,2016,Manual,59997,Diesel,0.0,74.3,1.6,6680
136,12378,vauxhall,Combo Life,2019,Manual,14500,Petrol,145.0,42.2,1.2,13995
137,12379,vw,Arteon,2019,Automatic,3000,Petrol,145.0,32.8,2.0,32399
138,12381,bmw,X4,2019,Semi-Auto,14404,Diesel,150.0,42.8,2.0,33998
139,12384,vw,Amarok,2016,Automatic,32990,Diesel,260.0,35.3,2.0,18850
140,12386,vauxhall,Antara,2012,Manual,49000,Diesel,235.0,44.8,2.2,7495
141,12388,merc,S Class,2017,Automatic,21000,Petrol,150.0,40.9,3.0,48990
142,12392,merc,S Class,2017,Automatic,31582,Diesel,150.0,50.4,3.0,28000
143,12401,hyundi,Santa Fe,2019,Semi-Auto,3837,Diesel,145.0,39.2,2.2,34495
144,12402,audi,RS5,2019,Automatic,9771,Petrol,145.0,29.7,2.9,54883
145,12405,ford,Grand C-MAX,2017,Manual,58111,Diesel,30.0,64.2,1.5,8691
146,12407,skoda,Scala,2019,Semi-Auto,4587,Petrol,145.0,45.6,1.5,19990
147,12410,hyundi,I40,2015,Semi-Auto,36831,Diesel,125.0,56.5,1.7,10498
148,12412,bmw,M4,2020,Automatic,5000,Petrol,145.0,34.0,3.0,53988
149,12415,vw,Beetle,2013,Manual,34803,Petrol,205.0,41.5,1.4,13189
150,12417,merc,V Class,2019,Automatic,2326,Diesel,145.0,45.6,2.2,47990
151,12422,vw,Caravelle,2020,Automatic,1001,Diesel,145.0,33.6,2.0,47000
152,12424,skoda,Scala,2019,Semi-Auto,95,Petrol,145.0,47.1,1.0,15985
153,12425,vw,Caravelle,2019,Automatic,7583,Diesel,145.0,32.8,2.0,39950
154,12429,ford,KA,2009,Manual,43000,Petrol,30.0,55.4,1.2,3250
155,12430,ford,Grand Tourneo Connect,2019,Manual,3500,Diesel,145.0,61.4,1.5,19999
156,12432,skoda,Yeti,2011,Manual,93579,Diesel,200.0,46.3,2.0,5699
157,12434,merc,CLS Class,2016,Semi-Auto,28415,Diesel,160.0,51.4,3.0,21490
158,12436,audi,A8,2018,Semi-Auto,6588,Diesel,145.0,48.7,3.0,38995
159,12437,ford,Grand C-MAX,2016,Manual,17621,Diesel,30.0,64.2,1.5,10099
160,12442,toyota,PROACE VERSO,2020,Automatic,1255,Diesel,145.0,38.7,2.0,47990
161,12444,skoda,Rapid,2015,Semi-Auto,26357,Petrol,150.0,48.7,1.4,8500
162,12448,bmw,M2,2019,Semi-Auto,100,Petrol,145.0,29.1,3.0,47980
163,12449,ford,KA,2014,Manual,35000,Petrol,30.0,57.7,1.2,5480
164,12450,bmw,Z4,2020,Semi-Auto,13,Petrol,145.0,38.7,2.0,29490
165,12451,bmw,7 Series,2019,Semi-Auto,7200,Diesel,150.0,42.2,3.0,46898
166,12452,ford,Edge,2019,Semi-Auto,1839,Diesel,145.0,37.2,2.0,31600
167,12453,toyota,Hilux,2018,Automatic,35041,Diesel,265.0,36.2,2.4,20998
168,12457,skoda,Rapid,2017,Manual,24451,Diesel,145.0,74.3,1.6,9424
169,12460,ford,KA,2014,Manual,51028,Petrol,30.0,57.7,1.2,4200
170,12465,vw,Scirocco,2015,Manual,20076,Diesel,20.0,55.4,2.0,14591
171,12467,ford,Grand Tourneo Connect,2019,Manual,3500,Diesel,145.0,61.4,1.5,19999
172,12468,toyota,Avensis,2016,Manual,58260,Diesel,30.0,62.8,2.0,10995
173,12469,hyundi,Santa Fe,2018,Manual,7781,Diesel,145.0,47.1,2.2,20250
174,12474,ford,Grand Tourneo Connect,2019,Automatic,3942,Diesel,145.0,56.6,1.5,19500
175,12482,hyundi,I40,2014,Manual,63458,Diesel,30.0,62.8,1.7,6895
176,12485,merc,CLS Class,2016,Semi-Auto,30496,Diesel,160.0,51.4,3.0,21998
177,12487,toyota,Avensis,2014,Manual,58523,Diesel,30.0,61.4,2.0,7950
178,12501,hyundi,I40,2013,Manual,66300,Diesel,150.0,55.4,1.7,6495
179,12504,vauxhall,Combo Life,2019,Automatic,5278,Diesel,145.0,50.4,1.5,17995
180,12506,skoda,Scala,2019,Semi-Auto,5052,Petrol,150.0,45.6,1.5,16990
181,12507,toyota,Verso,2017,Manual,23850,Diesel,145.0,62.8,1.6,12995
182,12508,merc,CLS Class,2016,Automatic,39200,Diesel,125.0,57.7,2.1,17990
183,12511,hyundi,Santa Fe,2015,Semi-Auto,37854,Diesel,265.0,42.2,2.2,17290
184,12518,ford,Fusion,2006,Manual,69255,Petrol,200.0,43.5,1.4,2495
185,12521,ford,Grand C-MAX,2017,Manual,12628,Diesel,30.0,64.2,1.5,12698
186,12522,toyota,Hilux,2019,Manual,6500,Diesel,265.0,40.4,2.4,18695
187,12538,hyundi,I40,2014,Manual,38406,Diesel,30.0,62.8,1.7,7600
188,12542,ford,Galaxy,2013,Manual,54922,Diesel,260.0,41.5,2.2,11750
189,12545,ford,Edge,2017,Automatic,27146,Diesel,145.0,47.9,2.0,23899
190,12546,merc,CLK,2002,Automatic,98000,Petrol,325.0,24.6,5.0,3790
191,12547,bmw,X6,2013,Automatic,70650,Diesel,325.0,36.7,3.0,19795
192,12548,hyundi,Santa Fe,2017,Automatic,20599,Diesel,150.0,42.8,2.2,18999
193,12549,hyundi,I40,2017,Manual,21743,Diesel,145.0,65.7,1.7,11495
194,12551,vauxhall,Combo Life,2019,Manual,11200,Petrol,150.0,42.2,1.2,13498
195,12552,hyundi,IX20,2019,Manual,100,Petrol,145.0,37.2,1.6,14750
196,12553,merc,CLS Class,2018,Semi-Auto,5673,Diesel,145.0,48.7,2.9,33000
197,12554,hyundi,Santa Fe,2016,Automatic,51849,Diesel,235.0,42.2,2.2,15899
198,12556,hyundi,IX35,2012,Manual,64992,Petrol,205.0,41.5,1.6,5790
199,12557,merc,GLS Class,2017,Automatic,45239,Petrol,150.0,23.0,5.5,53000
200,12560,hyundi,Santa Fe,2015,Semi-Auto,38514,Diesel,265.0,42.2,2.2,16998
201,12562,hyundi,Santa Fe,2019,Automatic,623,Diesel,145.0,42.8,2.2,32950
202,12563,skoda,Yeti,2011,Automatic,103986,Diesel,235.0,43.5,2.0,4249
203,12564,vw,Scirocco,2017,Semi-Auto,27597,Diesel,145.0,58.9,2.0,16490
204,12566,audi,A7,2013,Automatic,71100,Diesel,235.0,44.1,3.0,17500
205,12574,vw,Arteon,2019,Semi-Auto,4482,Diesel,145.0,44.1,2.0,26995
206,12575,bmw,X7,2020,Semi-Auto,5656,Diesel,150.0,31.4,3.0,77990
207,12576,bmw,X6,2019,Semi-Auto,3145,Petrol,145.0,26.4,3.0,68300
208,12580,vw,Scirocco,2016,Manual,14772,Petrol,125.0,52.3,1.4,13268
209,12583,toyota,Verso,2016,Manual,22691,Petrol,200.0,41.5,1.6,10500
210,12589,bmw,i3,2017,Automatic,33021,Hybrid,0.0,470.8,0.0,18995
211,12590,vauxhall,GTC,2016,Manual,10337,Petrol,160.0,47.1,1.4,9549
212,12591,vw,Caravelle,2012,Automatic,45000,Diesel,325.0,34.4,2.0,21995
213,12594,merc,SLK,2013,Automatic,35116,Diesel,145.0,56.5,2.1,10699
214,12598,bmw,X4,2017,Automatic,44397,Diesel,200.0,47.1,3.0,24100
215,12601,bmw,X7,2019,Semi-Auto,9200,Diesel,145.0,31.4,3.0,74990
216,12602,skoda,Yeti,2016,Automatic,19100,Petrol,125.0,51.4,1.2,13495
217,12603,vw,Arteon,2019,Semi-Auto,6095,Petrol,150.0,47.1,2.0,26999
218,12604,vw,Amarok,2018,Automatic,29771,Diesel,260.0,36.2,3.0,26990
219,12605,merc,GL Class,2015,Automatic,61289,Diesel,330.0,35.3,3.0,28700
220,12609,ford,Tourneo Custom,2019,Automatic,2000,Diesel,145.0,32.1,2.0,26500
221,12615,bmw,X4,2019,Semi-Auto,3098,Diesel,150.0,42.8,2.0,35990
222,12618,merc,CLS Class,2016,Semi-Auto,39972,Diesel,125.0,57.7,2.1,19113
223,12619,bmw,X4,2019,Semi-Auto,2316,Diesel,145.0,42.8,2.0,38182
224,12621,toyota,Land Cruiser,2017,Semi-Auto,10023,Diesel,145.0,38.2,2.8,39995
225,12622,hyundi,IX20,2014,Manual,19898,Petrol,125.0,50.4,1.4,7489
226,12630,audi,S3,2015,Semi-Auto,46965,Petrol,205.0,40.9,2.0,19000
227,12631,bmw,M4,2020,Semi-Auto,99,Petrol,145.0,34.0,3.0,48630
228,12632,hyundi,Getz,2008,Manual,67000,Petrol,125.0,51.4,1.1,1695
229,12639,hyundi,IX20,2017,Manual,9870,Petrol,125.0,50.4,1.4,8499
230,12641,bmw,6 Series,2015,Automatic,25757,Diesel,160.0,49.6,3.0,21298
231,12645,bmw,Z4,2020,Semi-Auto,100,Petrol,145.0,33.2,3.0,38950
232,12647,toyota,Land Cruiser,2017,Semi-Auto,30071,Diesel,300.0,38.2,2.8,31495
233,12648,hyundi,Santa Fe,2017,Manual,30131,Diesel,150.0,47.1,2.2,17500
234,12651,vw,Caravelle,2019,Automatic,2071,Diesel,145.0,33.6,2.0,47988
235,12655,skoda,Kamiq,2019,Automatic,3610,Diesel,145.0,52.3,1.6,21995
236,12657,audi,RS6,2014,Automatic,58000,Petrol,555.0,28.8,4.0,38444
237,12662,audi,A7,2018,Automatic,19132,Petrol,150.0,39.8,3.0,38880
238,12665,merc,V Class,2018,Manual,27222,Diesel,145.0,46.3,2.1,19998
239,12666,hyundi,IX20,2015,Manual,29731,Petrol,125.0,50.4,1.4,6890
240,12668,bmw,6 Series,2016,Semi-Auto,29403,Petrol,260.0,35.8,3.0,26420
241,12672,vw,Arteon,2019,Manual,100,Diesel,145.0,52.3,2.0,24450
242,12673,hyundi,I40,2016,Manual,31731,Diesel,30.0,65.7,1.7,11180
243,12675,skoda,Scala,2019,Semi-Auto,2000,Petrol,150.0,47.1,1.0,15995
244,12677,ford,KA,2008,Manual,50990,Petrol,160.0,45.6,1.3,1895
245,12680,merc,M Class,2013,Automatic,27932,Diesel,200.0,44.8,2.1,18999
246,12683,bmw,Z4,2015,Semi-Auto,15768,Petrol,330.0,30.1,3.0,22895
247,12685,audi,A8,2018,Semi-Auto,5538,Diesel,145.0,50.4,3.0,35866
248,12687,toyota,Prius,2013,Automatic,80000,Hybrid,0.0,70.6,1.8,8988
249,12692,bmw,M4,2018,Semi-Auto,8725,Petrol,145.0,33.6,3.0,53999
250,12694,toyota,Verso,2016,Manual,25725,Petrol,200.0,41.5,1.6,11000
251,12702,vw,Amarok,2019,Automatic,10000,Diesel,260.0,33.6,3.0,31495
252,12703,hyundi,Santa Fe,2017,Semi-Auto,39589,Diesel,240.0,42.8,2.2,19470
253,12704,audi,A8,2014,Automatic,48399,Diesel,200.0,47.1,3.0,17790
254,12705,merc,CLS Class,2019,Semi-Auto,992,Petrol,150.0,31.7,3.0,69995
255,12708,bmw,7 Series,2016,Automatic,33000,Diesel,145.0,54.3,3.0,29990
256,12710,merc,S Class,2010,Automatic,51238,Diesel,300.0,37.2,3.0,9995
257,12711,bmw,Z4,2020,Semi-Auto,5,Petrol,150.0,37.2,2.0,35000
258,12713,vw,Shuttle,2019,Semi-Auto,12746,Diesel,145.0,32.8,2.0,26396
259,12715,vw,Caddy Maxi Life,2019,Automatic,13191,Diesel,145.0,44.1,2.0,19000
260,12716,merc,V Class,2016,Automatic,43000,Diesel,200.0,45.6,2.1,25490
261,12726,toyota,Prius,2017,Automatic,37500,Hybrid,140.0,85.6,1.8,20500
262,12728,vw,Caddy Maxi Life,2019,Semi-Auto,14056,Diesel,145.0,44.1,2.0,19995
263,12734,merc,X-CLASS,2020,Automatic,303,Diesel,260.0,35.8,2.3,31991
264,12736,hyundi,IX35,2015,Manual,29865,Diesel,145.0,53.3,1.7,8595
265,12746,vw,California,2019,Automatic,7486,Diesel,260.0,33.2,2.0,57991
266,12750,vauxhall,Combo Life,2018,Manual,1146,Diesel,145.0,53.3,1.5,14985
267,12754,merc,V Class,2018,Manual,32095,Diesel,150.0,46.3,2.1,19346
268,12755,ford,Galaxy,2016,Semi-Auto,3950,Diesel,145.0,52.3,2.0,19170
269,12759,hyundi,Santa Fe,2017,Semi-Auto,26385,Diesel,235.0,42.8,2.2,21849
270,12762,bmw,M3,2004,Manual,60000,Petrol,325.0,23.3,3.2,17850
271,12763,bmw,X4,2016,Automatic,52131,Diesel,150.0,54.3,2.0,20470
272,12767,bmw,X7,2019,Semi-Auto,1657,Diesel,145.0,31.4,3.0,73990
273,12768,bmw,Z4,2016,Manual,25921,Petrol,205.0,41.5,2.0,15991
274,12772,skoda,Yeti,2016,Manual,29000,Diesel,30.0,62.8,2.0,12295
275,12773,skoda,Scala,2019,Manual,1037,Diesel,145.0,57.7,1.6,19191
276,12777,audi,SQ7,2017,Automatic,40000,Diesel,300.0,39.2,4.0,43950
277,12779,merc,M Class,2014,Automatic,74869,Diesel,205.0,44.8,2.1,16940
278,12788,hyundi,I40,2015,Manual,54000,Diesel,30.0,65.7,1.7,6990
279,12789,toyota,Land Cruiser,2015,Automatic,51437,Diesel,300.0,38.2,2.8,29875
280,12790,merc,CLS Class,2019,Automatic,1751,Diesel,145.0,45.6,2.0,37890
281,12796,vw,Scirocco,2014,Manual,44034,Diesel,30.0,62.8,2.0,10399
282,12798,hyundi,I800,2016,Automatic,48039,Diesel,325.0,33.6,2.5,12711
283,12804,vauxhall,Combo Life,2019,Manual,10543,Diesel,145.0,53.3,1.5,13798
284,12805,audi,S3,2016,Automatic,60000,Petrol,205.0,40.9,2.0,21950
285,12807,toyota,Camry,2019,Automatic,5145,Hybrid,135.0,52.3,2.5,24990
286,12810,toyota,Hilux,2015,Automatic,19962,Diesel,260.0,32.8,3.0,20495
287,12811,audi,A7,2017,Semi-Auto,34128,Petrol,330.0,29.7,4.0,30000
288,12812,vw,Beetle,2016,Manual,20991,Petrol,125.0,51.4,1.2,13000
289,12818,ford,KA,2016,Manual,19065,Petrol,30.0,57.7,1.2,6600
290,12821,vw,Scirocco,2017,Manual,22430,Petrol,145.0,47.1,2.0,15495
291,12822,toyota,Hilux,2019,Automatic,3500,Diesel,260.0,36.2,2.4,23995
292,12825,merc,CLA Class,2020,Automatic,2000,Petrol,150.0,44.8,1.3,32995
293,12829,merc,GL Class,2015,Automatic,21210,Diesel,125.0,56.5,2.1,18199
294,12831,bmw,6 Series,2016,Semi-Auto,15668,Petrol,260.0,35.8,3.0,26580
295,12832,bmw,7 Series,2017,Automatic,36500,Diesel,145.0,57.6,3.0,29999
296,12833,vw,Arteon,2019,Automatic,7148,Diesel,145.0,50.4,2.0,29990
297,12836,skoda,Scala,2019,Semi-Auto,8471,Petrol,150.0,47.1,1.0,15596
298,12838,vw,Arteon,2019,Manual,7998,Diesel,145.0,52.3,2.0,24495
299,12841,merc,V Class,2017,Automatic,14311,Diesel,235.0,44.8,2.1,36990
300,12843,ford,Galaxy,2018,Manual,34615,Diesel,145.0,56.5,2.0,18000
301,12848,vw,Beetle,2016,Manual,35916,Petrol,150.0,47.1,1.4,14991
302,12850,merc,V Class,2018,Manual,21525,Diesel,145.0,46.3,2.1,19498
303,12853,toyota,Avensis,2017,Manual,51681,Diesel,145.0,61.4,2.0,11199
304,12855,toyota,Verso,2016,Semi-Auto,36318,Petrol,160.0,43.5,1.8,12495
305,12858,skoda,Yeti,2016,Manual,14334,Petrol,125.0,51.4,1.2,12395
306,12859,skoda,Rapid,2017,Manual,26858,Diesel,20.0,74.3,1.4,8995
307,12860,audi,RS6,2015,Automatic,35000,Petrol,325.0,29.4,4.0,44944
